id,content and task fulfillment ,structure and essay development ,language use ,total 
ARG-CZH_1_1,8.33,6.33,6.67,21.33
ARG-CZH_1_2,8.67,6.33,7.33,22.33
ARG-CZH_1_3,9.00,6.00,7.00,22.00
ARG-CZH_2_1,9.33,7.33,8.00,24.67
ARG-CZH_2_2,9.00,6.00,7.00,22.00
ARG-CZH_2_3,9.67,6.33,5.33,21.33
ARG-CZH_3_1,8.67,7.33,5.67,21.67
ARG-CZH_3_2,7.33,5.67,5.67,18.67
ARG-CZH_3_3,7.33,3.33,4.00,14.67
ARG-CZH_4_1,7.33,5.00,6.67,19.00
ARG-CZH_4_2,9.00,7.00,7.00,23.00
ARG-CZH_4_3,8.67,5.33,6.67,20.67
ARG-CZH_5_1,9.00,5.67,6.67,21.33
ARG-CZH_5_2,9.33,7.67,6.33,23.33
ARG-CZH_5_3,8.67,4.00,6.00,18.67
ARG-CZH_6_1,9.00,8.33,5.67,23.00
ARG-CZH_6_2,9.33,5.00,6.67,21.00
ARG-CZH_6_3,8.67,3.00,5.33,17.00
ARG-CZH_7_1,8.67,4.67,5.33,18.67
ARG-CZH_7_2,9.33,8.67,7.00,25.00
ARG-CZH_7_3,9.00,4.00,6.67,19.67
ARG-CZH_8_1,8.00,4.00,7.33,19.33
ARG-CZH_8_2,9.33,7.00,6.33,22.67
ARG-CZH_8_3,9.33,5.67,5.67,20.67
ARG-CZH_9_1,8.33,3.67,6.33,18.33
ARG-CZH_9_2,8.33,8.00,7.67,24.00
ARG-CZH_9_3,8.67,5.67,6.33,20.67
ARG-CZH_10_1,7.67,2.33,5.33,15.33
ARG-CZH_10_2,9.33,8.00,8.33,25.67
ARG-CZH_10_3,9.00,6.67,6.67,22.33
ARG-CZH_11_1,9.67,7.00,8.00,24.67
ARG-CZH_11_2,8.33,6.00,6.67,21.00
ARG-CZH_11_3,9.00,6.33,7.00,22.33
ARG-CZH_12_1,8.67,4.67,4.67,18.00
ARG-CZH_12_2,8.00,4.33,5.33,17.67
ARG-CZH_12_3,8.33,4.33,5.00,17.67
ARG-CZH_13_1,9.00,7.00,8.33,24.33
ARG-CZH_13_2,8.00,6.00,7.33,21.33
ARG-CZH_13_3,8.00,5.00,8.00,21.00
ARG-CZH_14_1,8.33,3.67,5.33,17.33
ARG-CZH_14_2,9.00,7.67,7.67,24.33
ARG-CZH_14_3,9.00,4.00,5.33,18.33
ARG-CZH_15_1,8.00,4.33,6.33,18.67
ARG-CZH_15_2,9.00,7.00,5.00,21.00
ARG-CZH_15_3,8.33,4.00,6.00,18.33
ARG-CZH_16_1,5.67,2.67,3.33,11.67
ARG-CZH_16_2,6.00,5.00,4.33,15.33
ARG-CZH_16_3,7.67,7.00,6.00,20.67
ARG-CZH_17_1,8.67,4.67,7.67,21.00
ARG-CZH_17_2,8.67,7.67,7.67,24.00
ARG-CZH_17_3,8.33,6.33,5.67,20.33
ARG-CZH_18_1,6.67,3.67,3.33,13.67
ARG-CZH_18_2,7.67,6.33,6.33,20.33
ARG-CZH_18_3,6.67,4.00,5.00,15.67
ARG-CZH_19_1,9.00,5.67,5.67,20.33
ARG-CZH_19_2,8.00,5.00,6.00,19.00
ARG-CZH_19_3,8.33,6.00,5.33,19.67
ARG-CZH_20_1,9.67,7.67,6.67,24.00
ARG-CZH_20_2,9.33,5.33,8.33,23.00
ARG-CZH_20_3,9.33,8.33,6.67,24.33
ARG-CZH_21_1,7.67,5.33,6.67,19.67
ARG-CZH_21_2,8.00,5.67,5.67,19.33
ARG-CZH_21_3,7.67,5.33,5.33,18.33
ARG-CZH_22_1,6.33,3.00,4.67,14.00
ARG-CZH_22_2,5.33,4.33,6.67,16.33
ARG-CZH_22_3,6.67,3.00,4.33,14.00
ARG-CZH_23_1,9.00,6.00,7.67,22.67
ARG-CZH_23_2,8.33,6.67,7.33,22.33
ARG-CZH_23_3,9.33,6.33,6.00,21.67
ARG-CZH_24_1,6.33,3.00,5.00,14.33
ARG-CZH_24_2,7.00,4.33,6.33,17.67
ARG-CZH_24_3,5.67,5.67,5.67,17.00
ARG-CZH_25_1,9.00,6.67,9.67,25.33
ARG-CZH_25_2,9.67,7.00,9.33,26.00
ARG-CZH_25_3,9.67,7.67,8.67,26.00
